ID,Nombre,Inteligencia,Fuerza,Velocidad,Durabilidad,Potencia,Combate,Genero,Etnia,Altura,Peso,Color_Ojos,Color_Pelo,Nombre Completo,Alias,Lugar de nacimiento,Primera aparición,Editor,Alineación
134,Box III,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,-,null,193 cm,110 kg,Blue,Blond,Dr. Walter Langowski,"Box III, Wanda",British Columbia,First appearance unknown,Marvel Comics,good
135,Box IV,50,75,23,28,11,56,-,null,0 cm,0 kg,Brown,Brown / Black,Madison Jeffries,"Gemini, Jack-In-The-Box",Place of birth unknown,Alpha Flight #16,Gemini V,good
136,Brainiac,100,95,63,90,60,75,Male,Android,198 cm,135 kg,Green,No Hair,Vril Dox,Milton Fine,-,Action Comics #242 (July 1958),DC Comics,bad
137,Brainiac 5,100,10,23,28,60,32,Male,null,170 cm,61 kg,Green,Blond,Querl Dox,-,-,"Brainiac 5's primary invention is his personal force-shield generator. Brainiac 5 re-discovered the technical process behind original Brainiac's force-shield belt, which is capable of generating a virtually impervious field of protection. The belt must be",DC Comics,good
138,Brother Voodoo,Sin dato,65,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,183 cm,99 kg,Brown,Brown / White,Jericho Drumm,"Doctor Voodoo, Sorcerer Supreme","Port-au-Prince, Haiti","Strange Tales #169 (September, 1973)",Marvel Comics,good
139,Brundlefly,69,32,25,40,27,15,Male,Mutant,193 cm,0 kg,-,-,Seth Brundle,The Fly,-,The Fly (1986),,-
140,Buffy,63,28,42,70,48,60,Female,Human,157 cm,52 kg,Green,Blond,Buffy Anne Summers,"Anne, The Chosen One, The Vampire Slayer, The Slayer, Buff, B, The Buffster, Belinda, Joan",-,Dark Horse Presents 1998 Annual,Dark Horse Comics,good
141,Bullseye,50,11,25,70,20,70,Male,Human,183 cm,90 kg,blue,blond,Lester,"Benjamin Poindexter, Daredevil, Punisher, Bullseye, Hawkeye, pitcher",-,"Daredevil #131 (March, 1976)",Marvel Comics,bad
142,Bumblebee,63,28,25,10,47,35,Female,Human,170 cm,59 kg,Brown,Black,Karen Beecher,-,-,Teen Titans #45,DC Comics,good
143,Bumbleboy,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,New X-Men #153,Marvel Comics,good
144,Bushido,38,10,8,10,19,70,Male,Human,0 cm,0 kg,-,-,Ryuko Orsono,-,-,Titans: Secret Files & Origins #2,DC Comics,good
145,Cable,88,48,23,56,100,80,Male,Mutant,203 cm,158 kg,Blue,White,Nathan Summers,"Chosen One, Soldier X, Nathan Dayspring, Askani'son, Nathan Dayspring Summers, Nathan Winters, The Traveller, The Saviour",Unrevealed location in the 20th Century United States,New Mutants #86 (as Cable),Marvel Comics,good
146,Callisto,63,53,23,42,52,85,Female,null,175 cm,74 kg,Blue,Black,Callisto,-,-,X-MEN (first series) #169,Marvel Comics,bad
147,Cameron Hicks,50,10,23,28,51,70,Male,Alpha,0 cm,0 kg,-,-,,-,-,-,SyFy,good
148,Cannonball,50,28,67,99,94,56,Male,null,183 cm,81 kg,Blue,Blond,Samuel Zachery Guthrie,"Formerly Samson Guthry, Sam Guthrie, Jet-Ass","Cumberland County, Kentucky",Marvel Graphic Novel #4 (1982),Marvel Comics,good
149,Captain America,69,19,38,55,60,100,Male,Human,188 cm,108 kg,blue,blond,Steve Rogers,"Nomad, The Captain","Manhattan, New York City, New York",Captain America Comics #1 (March 1941),Marvel Comics,good
150,Captain Atom,81,93,83,90,100,80,Male,Human / Radiation,193 cm,90 kg,Blue,Silver,Nathaniel Adam,"Monarch, Allen Adam, Cameron Scott",-,Captain Atom #1,DC Comics,good
151,Captain Britain,75,77,50,60,31,80,Male,Human,198 cm,116 kg,Blue,Blond,Brian Braddock,"Britannic, Black Bishop, Jungle Man, King of Otherworld, Merlinson","Braddock Manor, England","Captain Britain #1 (October, 1976)",Marvel Comics,good
152,Captain Cold,50,10,17,20,28,20,Male,Human,0 cm,0 kg,Brown,Brown,Leonard Snart,"Citizen Cold, Kid Kold, Len Snart, Leonard Snart, Leonards Wynters, The Man Who Mastered Absolute Zero",-,"Flash Vol 4 #6 (April, 2012)",DC Comics,neutral
153,Captain Epic,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,188 cm,0 kg,Blue,Brown,,-,Canada,World War II,Team Epic TV,good
154,Captain Hindsight,25,10,83,30,10,20,Male,Human,0 cm,0 kg,-,Black,Jack Brolin,-,-,"South Park S14 E11 ""Coon 2: Hindsight""",South Park,good
155,Captain Mar-vell,Sin dato,80,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,188 cm,108 kg,Blue,Blond,Mar-Vell,"Captain Marvel, Dr. Walter Lawson",The city of Rad-Nam on the planet Kree-Lar in the Kree Galaxy (Greater Magellanic Cloud),MARVEL SUPERHEROES #18,Marvel Comics,good
156,Captain Marvel,88,100,88,95,100,75,Male,Human,193 cm,101 kg,Blue,Black,Billy Batson,"The World's Mightiest Mortal, The Big Red Cheese, Captain Thunder, Shazam","Fawcett City, United States",Whiz Comics no. 2 (1940),DC Comics,good
157,Captain Marvel,84,88,71,95,100,90,Female,Human-Kree,180 cm,74 kg,Blue,Blond,Carol Danvers,"Ace, Binary, Lady Marvel, Warbird, others used during her espionage career","Boston, Massachusetts",Ms. Marvel #1,Binary,good
158,Captain Marvel II,75,81,27,90,34,56,Male,Human,175 cm,74 kg,Blue,Black,Frederick Christopher Freeman,"Captain Marvel Jr., CM3",-,"Current incarnation: (As Freddy Freeman) The Power of Shazam #3 (May, 1995)",DC Comics,good
159,Captain Midnight,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,0 cm,0 kg,-,-,,"Major Midnight, Red, Space-Sovereign, The Skyway Sovereign, The Sky-Lord, The Lord of the Overworld, The Space Sentinel, Jim Albright",-,-,Dark Horse Comics,good
160,Captain Planet,50,88,75,80,100,60,Male,God / Eternal,0 cm,0 kg,Red,Green,,"The Captain, CP, Planet",-,Captain Planet and the Planeteers (TV Series),Marvel Comics,good
161,Captain Universe,Sin dato,92,Sin dato,Sin dato,Sin dato,Sin dato,-,God / Eternal,0 cm,0 kg,-,-,,"Guardian of Eternity, The Avenging Angel, The Hero That Could Be You",-,"Micronauts #8 (August, 1979)",Marvel Comics,good
162,Carnage,63,63,70,84,88,90,Male,Symbiote,185 cm,86 kg,Green,Red,Cletus Kasady,"Mass Carnage, 999th",-,"Amazing Spider-Man #344 (February, 1991)",Marvel Comics,bad
163,Cat,Sin dato,90,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,173 cm,61 kg,Blue,Blond,Shirlee Bryant,-,"Chicago, Illinois",The Cat #1,Marvel Comics,good
164,Cat II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
165,Catwoman,69,11,33,28,27,85,Female,Human,175 cm,61 kg,Green,Black,Selina Kyle,"The Cat, Irena Dubrovna, Elva Barr, Sadie Kelowski, Madame Moderne, Marguerite Tone",Gotham City,Detective Comics #569,DC Comics,good
166,Cecilia Reyes,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,-,null,170 cm,62 kg,Brown,Brown,Dr. Cecilia Reyes,-,Place of birth unknown,X-Men #65 (1997),Marvel Comics,good
167,Century,88,80,53,64,100,100,Male,Alien,201 cm,97 kg,White,White,,-,-,"Force Works #1 (July, 1994)",Marvel Comics,good
168,Cerebra,Sin dato,57,Sin dato,Sin dato,Sin dato,Sin dato,Female,Mutant,0 cm,0 kg,-,-,Shakti Haddad,-,-,"X-Men 2099 #1 (October, 1993)",Marvel Comics,good
169,Chamber,50,10,20,80,57,64,Male,Mutant,175 cm,63 kg,Brown,Brown,Jonothon Evan Starsmore,"Decibel, Jono, Jono Hex",United Kingdom,"Generation X #1 (November, 1994)",Marvel Comics,good
170,Chameleon,88,10,12,28,28,28,Male,null,0 cm,0 kg,-,-,Dmitri Anatoly Smerdyakov Kravinoff,"Dr. Ashley Kafka, Dr. Turner, J. Jonah Jameson, Torpedo, Rick Jones, Dr. Henry Pym, Peter Parker, Captain George Stacy, Dr. Robert Bruce Banner, General",Russia,Amazing Spider-Man #1,DC Comics,bad
171,Changeling,63,10,23,42,64,64,Male,null,180 cm,81 kg,Brown,Black,Kevin Sidney,"Professor X, Professor Charles Xavier",-,"Uncanny X-Men #35 (August, 1967)",Marvel Comics,bad
172,Cheetah,38,8,42,20,32,70,Female,Human,163 cm,50 kg,Green,Blond,Priscilla Rich,"Kay Carlton, The Cheetah",-,Wonder Woman Vol1 #6 (Fall 1943),DC Comics,bad
173,Cheetah II,38,20,42,20,39,60,Female,Human,170 cm,55 kg,Green,Brown,Deborah Domaine,"Debbi, The Cheetah",-,Wonder Woman Vol1 #274 (Dec 1980),DC Comics,bad
174,Cheetah III,88,100,88,80,78,95,Female,Human,175 cm,54 kg,Brown,Brown,Barbara Minerva,"Barbara Minerva, Bride of Urzkartaga, Priscilla Rich, Deborah Domaine, Sabrina Ballesteros",-,Wonder Woman Vol2 #7 (Sept 1987),DC Comics,bad
175,Chromos,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,185 cm,86 kg,Brown,Red / Grey,Bernard Embers,-,"London, England",Team Epic Episode 101,Team Epic TV,bad
176,Chuck Norris,50,80,47,56,42,99,Male,null,178 cm,0 kg,-,-,Carlos Ray Norris,Chuck,"Ryan, Oklahoma, United States",-,null,good
177,Citizen Steel,50,95,33,100,23,60,Male,Human,183 cm,170 kg,Green,Red,Nathan Heywood,"Buckeye, Uncle Nate, Uncle Nathan",-,"Justice Society of America Vol 3 #2 (March, 2007)",DC Comics,good
178,Claire Bennet,38,9,12,100,90,28,Female,null,0 cm,0 kg,Blue,Blond,Claire Bennet,"Vivian Lewis, Claire Butler",-,Heroes S01E01,NBC - Heroes,good
179,Clea,Sin dato,39,Sin dato,Sin dato,Sin dato,Sin dato,-,null,0 cm,0 kg,-,White,Clea,-,The Dark Dimension,-,Marvel Comics,good
180,Cloak,63,10,47,64,100,56,Male,null,226 cm,70 kg,brown,black,Tyrone Johnson,-,"South Boston, Massachusetts",Spectacular Spiderman #64,Marvel Comics,good
181,Clock King,75,10,17,10,7,40,Male,Human,178 cm,78 kg,Blue,Black,William Tockman,Tempus Fugit,-,"World's Finest #111 (August, 1960)",DC Comics,bad
182,Cogliostro,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Cain,"Nicholas Cogliostro, Cog, The Count",-,Spawn #9,Image Comics,bad
183,Colin Wagner,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,Grey,Brown,,-,-,-,HarperCollins,good
184,Colossal Boy,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,DC Comics,good
185,Colossus,63,83,33,100,45,80,Male,Mutant,226 cm,225 kg,Silver,Black,Piotr Nikolaievitch Rasputin,"Pete, Peter Nicholas, The Proletarian, Little Brother","Ust-Ordynski Collective, near Lake Baikal, Siberia, Russia","Giant-Size X-Men #1 (May, 1975)",Marvel Comics,good
186,Copycat,56,10,21,25,54,60,Female,Mutant,183 cm,67 kg,Red,White,Vanessa Carlysle,"Nurse Veronica, Patricia Muggins, Titania, Garrison Kane, Christina Valentino, Domino, Cheryl Marks, Debbie, Marguerite, Amy",-,"New Mutants #98 (February, 1991)",Marvel Comics,neutral
187,Corsair,Sin dato,16,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,191 cm,79 kg,Brown,Brown,Christopher Summers,-,-,Uncanny X-Men #107,Marvel Comics,good
188,Cottonmouth,50,10,8,10,27,25,Male,Human,183 cm,99 kg,Brown,Black,Burchell Clemens,Quincy McIver,-,"Captain America #310 (October, 1985)",Marvel Comics,bad
189,Crimson Crusader,Sin dato,58,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,Blue,Strawberry Blond,Rory Destine,-,"Ravenscroft, England",ClanDestine #1 (1994),Marvel Comics,good
190,Crimson Dynamo,Sin dato,65,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,180 cm,104 kg,Brown,No Hair,Anton Vanko,Krashni Denamit,-,Tales of Suspense #46 (Oct 1963),Marvel Comics,good
191,Crystal,63,16,12,14,61,56,Female,Inhuman,168 cm,50 kg,Green,Red,Crystallia Amaquelin,"Crys, Exquisite Elemental",Attilan,Fantastic Four #45 (1965),Marvel Comics,good
192,Curse,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Phillip Krahn,-,-,Spawn #25,Image Comics,bad
193,Cy-Gor,Sin dato,96,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,Image Comics,bad
194,Cyborg,75,53,42,85,71,64,Male,Cyborg,198 cm,173 kg,Brown,Black,Victor Stone,"Cyberion Technis, Omegadrome, Planet Cyberion","New York City, New York","DC Comics Presents #26 (October, 1980)",DC Comics,good
195,Cyborg Superman,75,93,92,100,100,80,Male,Cyborg,0 cm,0 kg,Blue,Black,Henry Henshaw,"Grandmaster of the Manhunters, Herald of the Anti-Monitor, Alpha-Prime of the Alpha Lanterns",-,"Adventures of Superman #466 (May, 1990)",DC Comics,bad
196,Cyclops,75,10,23,42,76,80,Male,Mutant,191 cm,88 kg,Brown,Brown,Scott Summers,"Scotty, Cyke, Slim, Fearless Leader, One-Eye, Erik the Red, Slym Dayspring, Mutate 007, Apocalypse","Anchorage, Alaska","X-Men #1 (September, 1963)",Marvel Comics,good
197,Cypher,Sin dato,44,Sin dato,Sin dato,Sin dato,Sin dato,-,null,175 cm,68 kg,Blue,Blond,Douglas Aaron Ramsey,-,Place of birth unknown,New Mutants (Vol. 1) #13,Marvel Comics,good
198,Dagger,63,10,35,42,52,70,Female,null,Sin dato,52 kg,Blue,Blond,Tandy Bowen,Lady Light,"Shaker Heights, Ohio",Spectacular Spiderman #64,Marvel Comics,good
199,Danny Cooper,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,Brown,Blond,,-,-,-,HarperCollins,good
200,Daphne Powell,38,10,8,10,56,10,Female,null,0 cm,0 kg,-,-,Daphne Powell,-,-,No Ordinary Family S01E01 (2010),ABC Studios,good
201,Daredevil,75,13,25,35,61,100,Male,Human,183 cm,90 kg,Blue,Red,Matt Murdock,"Matt, Jack Batlin, Kingpin of Crime, Laurent LeVasseur, Michael ""Mike"" Murdock, Scarlet Swashbuckler, Nameless One, Kingpin of Hell's Kitchen, The Man Without Fear, The Guardian Devil, DD, Red, Hornhead, Cooper Peyton, Captain Universe","New York City, New York","Daredevil #1 (April, 1964)",Marvel Comics,good
202,Darkhawk,50,32,33,70,74,64,Male,Human,185 cm,81 kg,Brown,Brown,Christopher Powell,"Bucket-Head, Edge-Man, Powell","Queens, New York","Darkhawk #1 (March, 1991)",Marvel Comics,good
203,Darkman,75,14,23,85,12,28,Male,null,0 cm,0 kg,-,-,Peyton Westlake,-,-,"Darkman (August 24, 1990)",Universal Studios,good
204,Darkseid,88,100,83,100,100,95,Male,New God,267 cm,817 kg,Red,No Hair,Uxas,Dark God,-,Superman's Pal Jimmy Olsen #134 (November 1970),DC Comics,bad
205,Darkside,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,-,null,0 cm,0 kg,-,-,,-,-,-,null,bad
206,Darkstar,38,8,35,42,79,64,Female,Mutant,168 cm,56 kg,Brown,Blond,Laynia Petrovna,Tyomni Zvesda,"Minks, USSR","Champions #7 (August, 1976)",Marvel Comics,good
207,Darth Maul,56,48,50,30,100,100,Male,Dathomirian Zabrak,170 cm,0 kg,Yellow / Red,-,,"Sith, Master Of The Double-Bladed Lightsaber",Dathomir,Star Wars Episode I: The Phantom Menace (1999),George Lucas,bad
208,Darth Vader,69,48,33,35,100,100,Male,Cyborg,198 cm,135 kg,Yellow,No Hair,Anakin Skywalker,Lord Vader,Tatooine,Star Wars: Episode IV - A New Hope (1977),George Lucas,bad
209,Dash,25,12,92,60,20,30,Male,Human,122 cm,27 kg,Blue,Blond,Dashiell Robert Parr,"The Fastest Kid on Earth, The Dash",-,"The Incredibles (Movies, 2004)",Dark Horse Comics,good
210,Data,100,32,21,40,56,50,Male,Android,0 cm,0 kg,Yellow,Brown,Data,B-4,-,-,Star Trek,good
211,Dazzler,63,10,33,60,100,55,Female,Mutant,173 cm,52 kg,Blue,Blond,Alison Blaire,"Ali, The Disco Dazzler, Songbird, Dazz, Kimberly Schau, Ally","Gardendale, Long Island, New York",X-Men #130 (1980),Marvel Comics,good
212,Deadman,50,10,33,100,100,42,Male,Human,183 cm,90 kg,Blue,Black,Boston Brand,-,-,"Strange Adventures #205 (October, 1967)",DC Comics,good
213,Deadpool,69,32,50,100,100,100,Male,Mutant,188 cm,95 kg,Brown,No Hair,Wade Wilson,"Wade Wilson, Jack, Chiyonosake (""the Wolf of the Rice Wine""), Rhodes, Corpus, Lopez, Hobgoblin, Thom Cruz, Peter Parker",Canada,"New Mutants #98 (February, 1991)",Evil Deadpool,neutral
214,Deadshot,50,10,23,28,55,80,Male,Human,185 cm,91 kg,Brown,Brown,Floyd Lawton,"Man Who Never Misses, Worlds Finest Assassin, Orlando Furioso",-,"Batman #59 (June, 1950)",DC Comics,bad
215,Deathlok,69,32,30,70,40,60,Male,Cyborg,193 cm,178 kg,Brown,Grey,Luther Manning,Demolisher,-,"Astonishing Tales #25 (August, 1974)",Marvel Comics,good
216,Deathstroke,75,30,35,100,47,90,Male,Human,193 cm,101 kg,Blue,White,Slade Joseph Wilson,"Slade Wilson, Deathstroke the Terminator, Batman",-,"New Teen Titans #2 (December, 1980)",DC Comics,neutral
217,Demogoblin,50,48,42,35,67,60,Male,Demon,185 cm,95 kg,Red,No Hair,,Jason Macendale Jr,-,"Web of Spider-Man #86 (March, 1992)",Marvel Comics,bad
218,Destroyer,50,95,58,98,85,70,Male,null,188 cm,383 kg,-,-,,-,Created in Asgard,Journey into Mystery #118 (1965),Marvel Comics,bad
219,Diamondback,44,16,23,28,45,60,Male,Human,193 cm,90 kg,Brown,Black,Willis Stryker,-,-,"Luke Cage, Hero for Hire#1 (1972)",Marvel Comics,bad
220,DL Hawkins,50,12,12,56,48,56,Male,null,0 cm,0 kg,-,-,Daniel Lawrence Hawkins,-,-,Heroes S01E05 - Hiros,NBC - Heroes,good
221,Doc Samson,75,80,33,80,36,70,Male,Human / Radiation,198 cm,171 kg,Blue,Green,Leonard Samson,-,"Tulsa, Oklahoma","Incredible Hulk #141 (July, 1971)",Marvel Comics,good
222,Doctor Doom,100,32,20,100,100,84,Male,Human,201 cm,187 kg,Brown,Brown,Victor von Doom,"The Master, Invincible Man","Haasenstadt, Latveria",Fantastic Four #5 (July 1962),Marvel Comics,bad
223,Doctor Doom II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,201 cm,132 kg,Brown,Brown,Kristoff Vernard,"Victor Von Doom, Dr Doom","Doomstadt, Latveria","Fantastic Four #247 (1982, as Kristoff), Fantastic Four #278 (1985, as Doctor Doom)",Marvel Comics,bad
224,Doctor Fate,81,16,25,80,100,50,Male,Human,188 cm,89 kg,Blue,Blond,Kent Nelson,Nabu,-,"More Fun Comics #55 (May, 1940)",DC Comics,good
225,Doctor Octopus,94,48,33,40,53,65,Male,Human,175 cm,110 kg,Brown,Brown,Otto Octavius,"Doctor Octopus, Doc Ock, The Master Planner, The Master Programmer, Peter Benjamin Parker, Superior Spider-Man, Venom, Superior Venom","Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad
226,Doctor Strange,100,10,12,84,100,60,Male,Human,188 cm,81 kg,Grey,Black,Stephen Strange,"Sorcerer Supreme, Master of the Mystic Arts, Stephen Sanders, Captain Universe, Vincent Stevens","Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good
227,Domino,63,10,27,28,49,74,Female,Human,173 cm,54 kg,Blue,Black,Neena Thurman,"Dom, Samantha Wu, Tamara Winter, Elena Vladescu, Jessica Marie Costello, Luisa Mendoza, Beatrice, Christina Elizabeth Alioso, Priscilla Sutherland, Hope Eldridge","Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good
228,Donatello,88,14,46,60,58,75,Male,Mutant,0 cm,0 kg,Green,No Hair,,"Don, Donnie",-,Teenage Mutant Ninja Turtles #1,IDW Publishing,good
229,Donna Troy,Sin dato,89,Sin dato,Sin dato,Sin dato,Sin dato,Female,Amazon,175 cm,63 kg,Blue,Black,Donna Hinckley Stacey Troy,"Donna Troy, Wonder Girl, Darkstar, Wonder Woman, Troia",-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good
230,Doomsday,75,100,67,100,100,90,Male,Alien,244 cm,412 kg,Red,White,Doomsday,The Ultimate Lifeform,Krypton,Superman: The Man of Steel #17 (Nov 1992),DC Comics,bad
231,Doppelganger,8,63,60,95,69,84,Male,null,196 cm,104 kg,White,No Hair,,"The Spider-Man Doppelganger, Spider-Doppelganger, Mindless One",The Dimension of Manifestations,Infinity War #1 (1992),Marvel Comics,bad
232,Dormammu,88,95,83,100,100,80,Male,null,185 cm,0 kg,Yellow,No Hair,Dormammu,"The Dread One, Eater of Souls, Lord of Chaos, Lord of Darkness, the Great Enigma, Flyx",Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,bad
233,Dr Manhattan,88,100,42,100,100,42,Male,Human / Cosmic,0 cm,0 kg,White,No Hair,Jonathan Osterman,"Jon Osterman, Doctor Manhattan",-,"Watchmen #1 (September, 1986)",DC Comics,good
234,Drax the Destroyer,56,80,25,85,46,65,Male,Human / Altered,193 cm,306 kg,Red,No Hair,Arthur Sampson Douglas,-,"Burbank, California","Iron Man #55 (February, 1973)",Marvel Comics,good
235,Ego,88,80,83,99,71,28,-,null,0 cm,0 kg,-,-,Ego,The Living Planet,The Black Galaxy,THOR #132,Marvel Comics,bad
236,Elastigirl,63,32,33,95,52,70,Female,Human,168 cm,56 kg,Brown,Brown,Helen Parr,Mrs Incredible,-,"The Incredibles (Movies, 2004)",Dark Horse Comics,good
237,Electro,69,10,50,56,67,64,Male,Human,180 cm,74 kg,Blue,Auburn,Maxwell Dillon,-,-,Amazing Spider-Man #9 (1964),Marvel Comics,bad
238,Elektra,63,11,30,28,59,100,Female,Human,175 cm,59 kg,Blue,Black,Elektra Natchios,Erynys (evil self),-,Daredevil #168,Marvel Comics,good
239,Elle Bishop,50,8,12,42,63,42,Female,null,0 cm,0 kg,Blue,Blond,,Cindy,-,Heroes S02E05 - Fight or Flight,NBC - Heroes,bad
240,Elongated Man,75,10,33,90,44,40,Male,null,185 cm,80 kg,Blue,Red,Ralph Dibny,Alvin Burgson; Molder,-,Flash #112 (1960),DC Comics,good
241,Emma Frost,75,63,35,90,100,42,Female,null,178 cm,65 kg,Blue,Blond,Emma Frost,"Storm, White Queen","Boston, Massachusetts",UNCANNY X-MEN #132,Marvel Comics,good
242,Enchantress,63,14,25,60,100,40,Female,Human,168 cm,57 kg,Blue,Blond,June Moone,"Anita Soulfeeda, Soulsinger",-,Strange Adventures #187,DC Comics,good
243,Energy,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,HarperCollins,good
244,ERG-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,DC Comics,good
245,Ethan Hunt,75,11,29,30,26,95,Male,Human,168 cm,0 kg,Brown,Brown,Ethan Hunt,-,"Madison, Wisconsin, United States of America",-,null,good
246,Etrigan,50,85,17,100,100,50,Male,Demon,193 cm,203 kg,Red,No Hair,Jason Blood,Demon,Hell,"Demon #1 (September, 1972)",DC Comics,neutral
247,Evil Deadpool,69,32,50,100,100,100,Male,Mutant,188 cm,95 kg,White,Red,Wade Wilson,Dreadpool,-,"Deadpool Vol 2 #44 (December, 2011)",Deadpool,bad
248,Evilhawk,50,32,33,70,85,64,Male,Alien,191 cm,106 kg,Red,Black,Dargin Bokk,-,-,"Darkhawk #20 (October, 1992)",Marvel Comics,bad
249,Exodus,63,81,28,28,100,70,Male,Mutant,183 cm,88 kg,Blue,Black,Bennet du Paris,Paris Bennet,-,"X-Factor #92 (July, 1993)",Marvel Comics,bad
250,Fabian Cortez,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,-,null,196 cm,96 kg,Blue,Brown,Fabian Cortez,-,Place of birth unknown,X-Men (Vol. 2) #1,Marvel Comics,bad
251,Falcon,38,13,50,28,22,64,Male,Human,188 cm,108 kg,Brown,Black,Sam Wilson,"Sam Wilson, (formerly) Captain America, Blackbird, Blackwing, Brother Superhero","New York, New York","Captain America #117 (September, 1969)",Marvel Comics,good
252,Fallen One II,88,85,83,100,100,56,Male,null,0 cm,0 kg,Black,Blue,,-,-,-,Marvel Comics,bad
253,Faora,88,95,75,100,98,90,Female,Kryptonian,0 cm,0 kg,-,-,Faora Hu-Ul,Katie,-,"Action Comics #471 (May, 1977)",DC Comics,bad
254,Feral,38,28,45,28,27,70,-,null,175 cm,50 kg,Yellow (without irises),Orange / White,Maria Callasantos,-,Place of birth unknown,NEW MUTANTS #99,Marvel Comics,good
255,Fighting Spirit,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,Red,Carol Carter,"Yankette, Fighting Yank II",-,-,DC Comics,good
256,Fin Fang Foom,50,81,23,100,75,70,Male,Kakarantharaian,975 cm,18 tons,Red,No Hair,,He Whose Limbs Shatter Mountains and Whose Back Scrapes the Sun (translation),-,-,Marvel Comics,good
257,Firebird,38,8,40,14,100,42,Female,null,165 cm,56 kg,Brown,Black,Bonita Juarez,"Pajaro Del Fuego, La Espirita, Firemaiden","Buena Vista, New Mexico",INCREDIBLE HULK Vol. 2 #265,Marvel Comics,good
258,Firelord,38,63,75,90,52,28,-,null,193 cm,99 kg,White,Yellow,Pyreus Kril,Nova Centurion,"Xander, planet in Tranta System, Andromeda Galaxy",THOR Vol. 1 #225,Marvel Comics,good
259,Firestar,50,8,54,55,71,32,Female,Mutant,173 cm,56 kg,Green,Red,Angelica Jones,"Angel, Anj, Lady Comet",Place of birth unknown,"Uncanny X-Men #193 (May, 1985)",Marvel Comics,good
260,Firestorm,50,53,58,56,100,42,Male,null,0 cm,0 kg,Brown,Black,Jason Rusch,The Nuclear Man,-,Firestorm (Volume 3) #1,DC Comics,good
261,Firestorm,38,80,58,80,100,40,Male,Human,188 cm,91 kg,Blue,Auburn,Ronald Raymond,"Ronnie, Roy, Ronald Rockwell, Flamehead",-,"Firestorm #1 (March, 1978)",DC Comics,good
262,Fixer,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,-,null,0 cm,0 kg,Red,No Hair,Paul Norbert Ebersol,Fixer,"Dayton, Ohio",(as Fixer) STRANGE TALES #141,Marvel Comics,bad
263,Flash,63,10,100,50,68,32,Male,Human,180 cm,81 kg,Blue,Brown / White,Jay Garrick,"Jay Garrick, Siegfreid the Speedster","Hibbardsville, Kansas",Flash Comics #1 (January 1940),DC Comics,good
264,Flash Gordon,Sin dato,69,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Steven Gordon,-,-,Flash Gordon #1 (september 1966),null,good
